area,bathrooms,bedrooms,stories,airconditioning,parking,price
7420,2,4,3,1,2,13300000
8960,4,4,4,1,3,12250000
9960,2,3,2,0,2,12250000
7500,2,4,2,1,3,12215000
7420,1,4,2,1,2,11410000
7500,3,3,1,1,2,10850000
8580,3,4,4,1,2,10150000
16200,3,5,2,0,0,10150000
8100,1,4,2,1,2,9870000
5750,2,3,4,1,1,9800000
13200,1,3,2,1,2,9800000
6000,3,4,2,0,2,9681000
6550,2,4,2,1,1,9310000
3500,2,4,2,0,2,9240000
7800,2,3,2,0,0,9240000
6000,1,4,2,0,2,9100000
6600,2,4,2,1,1,9100000
8500,2,3,4,1,2,8960000
4600,2,3,2,1,2,8890000
6420,2,3,2,1,1,8855000
4320,1,3,2,0,2,8750000
7155,2,3,1,1,2,8680000
8050,1,3,1,1,1,8645000
4560,2,3,2,1,1,8645000
8800,2,3,2,1,2,8575000
6540,2,4,2,1,2,8540000
6000,2,3,4,1,0,8463000
8875,1,3,1,0,1,8400000
7950,2,5,2,0,2,8400000
5500,2,4,2,1,1,8400000
7475,2,3,4,1,2,8400000
7000,1,3,4,1,2,8400000
4880,2,4,2,1,1,8295000
5960,3,3,2,0,1,8190000
6840,1,5,2,1,1,8120000
7000,2,3,4,1,2,8080940
7482,2,3,3,0,1,8043000
9000,2,4,4,1,2,7980000
6000,1,3,4,1,2,7962500
6000,2,4,4,1,1,7910000
6550,1,3,2,1,0,7875000
6360,2,3,4,1,0,7840000
6480,2,3,4,1,2,7700000
6000,2,4,4,0,2,7700000
6000,2,4,4,1,1,7560000
6000,2,3,3,1,0,7560000
6000,2,3,4,1,1,7525000
6600,1,3,4,1,3,7490000
4300,2,3,2,0,1,7455000
7440,2,3,1,1,0,7420000
7440,2,3,4,0,1,7420000
6325,1,3,4,1,1,7420000
6000,2,4,4,1,1,7350000
5150,2,3,4,1,2,7350000
6000,2,3,2,1,1,7350000
6000,1,3,2,1,1,7350000
11440,1,4,2,0,1,7343000
9000,2,4,4,1,1,7245000
7680,2,4,4,1,1,7210000
6000,2,3,4,1,1,7210000
6000,2,3,2,0,1,7140000
8880,1,2,1,1,1,7070000
6240,2,4,2,1,1,7070000
6360,2,4,3,1,2,7035000
11175,1,3,1,1,1,7000000
8880,2,3,2,1,1,6930000
13200,1,2,1,0,1,6930000
7700,2,3,1,0,2,6895000
6000,1,3,1,1,1,6860000
12090,2,4,2,0,2,6790000
4000,2,3,2,1,0,6790000
6000,2,4,4,1,0,6755000
5020,1,3,4,1,0,6720000
6600,2,2,4,0,0,6685000
4040,1,3,2,0,1,6650000
4260,2,4,2,0,0,6650000
6420,2,3,3,1,0,6650000
6500,2,3,3,1,0,6650000
5700,1,3,1,1,2,6650000
6000,2,3,3,1,0,6650000
6000,1,3,2,0,1,6629000
